id,channel_id,name,handle,niche,subscribers,video_count,total_views,avg_views_per_video,engagement_rate_pct,cipher_score,country,language,growth_momentum,thirty_day_engagement_pct,sixty_day_engagement_pct,ninety_day_engagement_pct,trailing_velocity_views,monthly_subscriber_growth,sentiment_index,estimated_cpm_usd,estimated_cpv_usd,rate_60s_integration_usd,rate_dedicated_video_usd,rate_short_reel_usd,rate_series_usd,brand_safety_score,sponsored_retention_rate_pct,sponsored_saturation_pct,primary_cohort_summary,top_country_1,top_country_1_pct,top_country_2,top_country_2_pct,primary_age_group,primary_age_group_pct,gender_male_pct,gender_female_pct,buying_power_index,niche_cluster_overlap_pct,top_overlap_peers,on_time_delivery_rate_pct,avg_production_days,completed_deals_count,dispute_rate_pct,availability_status,next_open_quarter
creator-huberman-lab,UCHnyfMqiRRG1u-2MsSQLbXA,Dr. Andrew Huberman,@hubermanlab,Wellness & Longevity,5900000,290,480000000,1550000,8.9,99,United States,English,Accelerating,8.84,8.75,8.19,1386788,225092,93,54,0.048,65000,145000,30000,290000,99,93.5,16,25-34 Demographics with Ultra Luxury Purchasing Power in United States,United States,58,United Kingdom,14,25-34,50,66,32,Ultra Luxury,38.4,"Marques Brownlee (28% overlap, 2.1x affinity) | Cleo Abram (24% overlap, 2.1x affinity) | Jeff Delaney (Fireship) (24% overlap, 2.1x affinity)",100,14,96,0,Limited Slots,Q3 2026
creator-nick-digiovanni,UCnick-digiovanni-culinary,Nick DiGiovanni,@nickdigiovanni,Culinary Arts,17200000,840,6200000000,3800000,7.8,98,United States,English,Accelerating,8.13,7.7,7.29,4333869,569333,95,32,0.028,95000,210000,50000,420000,99,93.5,16,25-34 Demographics with Ultra Luxury Purchasing Power in United States,United States,52,United Kingdom,14,25-34,46,54,44,Ultra Luxury,38.4,"Marques Brownlee (38% overlap, 2.6x affinity) | Cleo Abram (20% overlap, 1.9x affinity) | Jeff Delaney (Fireship) (25% overlap, 2.3x affinity)",99.1,10,165,0,Available,Q2 2026
creator-sam-kolder,UCsam-kolder-cinematic-travel,Sam Kolder,@samkolder,Travel & Heritage,1650000,140,180000000,1250000,11.2,99,Canada,English,Stable High,11.74,10.9,11.16,1116447,30681,92,48,0.042,48000,130000,28000,260000,99,93.5,16,25-34 Demographics with Ultra Luxury Purchasing Power in Canada,United States,42,Canada,18,25-34,56,58,40,Ultra Luxury,38.4,"Marques Brownlee (17% overlap, 2x affinity) | Cleo Abram (24% overlap, 2.2x affinity) | Jeff Delaney (Fireship) (30% overlap, 2.2x affinity)",98.2,24,42,0,Available,Q2 2026
creator-shroud,UCoz3MlG98zSksFXXfg9quHQ,Michael Grzesiek (Shroud),@shroud,Gaming & Culture,6780000,1980,1100000000,480000,7.2,97,Canada / United States,English,Accelerating,7.4,6.98,6.59,542240,217676,95,36,0.032,36000,85000,19000,175000,99,93.5,16,25-34 Demographics with Very High Purchasing Power in Canada / United States,United States,56,Canada,14,25-34,48,84,14,Very High,38.4,"Marques Brownlee (26% overlap, 2.4x affinity) | Cleo Abram (29% overlap, 2.3x affinity) | Jeff Delaney (Fireship) (27% overlap, 2.4x affinity)",99.2,7,140,0,Available,Q2 2026
creator-valerie-luxury,UCv-fashion-valerie-778,Valérie Saint-Laurent,@valerieluxury,Luxury & Fashion,285000,210,38000000,195000,8.7,97,France,English / French,Accelerating,9.14,8.54,8.21,192661,8062,97,92,0.095,18500,45000,12500,105000,99,93.5,16,25-34 Demographics with Ultra Luxury Purchasing Power in France,United States,34,France,22,25-34,42,38,60,Ultra Luxury,38.4,"Marques Brownlee (23% overlap, 2.2x affinity) | Cleo Abram (21% overlap, 1.9x affinity) | Jeff Delaney (Fireship) (21% overlap, 2.2x affinity)",100,18,38,0,Limited Slots,Q3 2026
creator-benjamin-graham-wealth,UCwealth-benjamin-82,Alistair Sterling,@sterlingwealth,Wealth & Finance,420000,195,52000000,280000,5.9,95,Switzerland,English,Stable High,6.14,5.61,5.76,314268,16301,95,86,0.085,24000,62000,14000,128000,99,93.5,16,25-34 Demographics with Ultra Luxury Purchasing Power in Switzerland,United States,46,Switzerland,18,25-34,44,82,16,Ultra Luxury,38.4,"Marques Brownlee (25% overlap, 2.1x affinity) | Cleo Abram (20% overlap, 2x affinity) | Jeff Delaney (Fireship) (22% overlap, 1.9x affinity)",98.9,10,42,0,Available,Q2 2026
creator-never-too-small,UC_zQ777-arch-minimal,Architectural Digest - Minimalist Series,@spatialminimal,Design & Architecture,2350000,420,340000000,780000,6.9,97,Japan / Australia,English,Stable High,7.08,6.72,6.75,891317,87134,97,46,0.046,36000,92000,22000,195000,99,93.5,16,25-34 Demographics with Ultra Luxury Purchasing Power in Japan / Australia,United States,41,Japan,18,25-34,48,54,44,Ultra Luxury,38.4,"Marques Brownlee (20% overlap, 2.2x affinity) | Cleo Abram (37% overlap, 2.9x affinity) | Jeff Delaney (Fireship) (27% overlap, 2.3x affinity)",98.4,21,47,0,Limited Slots,Q3 2026
creator-prestige-auto,UCauto-prestige-991,Christian von Horvath,@horvathmotors,Automotive & Prestige,1420000,290,210000000,650000,6.4,96,Germany / Monaco,English,Accelerating,6.5,6.25,5.84,575085,69703,93,52,0.049,32000,85000,19000,180000,99,93.5,16,25-34 Demographics with Ultra Luxury Purchasing Power in Germany / Monaco,United States,38,Germany,22,25-34,50,89,9,Ultra Luxury,38.4,"Marques Brownlee (22% overlap, 1.9x affinity) | Cleo Abram (30% overlap, 2.5x affinity) | Jeff Delaney (Fireship) (29% overlap, 2.6x affinity)",97.6,16,39,0,Available,Q2 2026
creator-elena-longevity,UCelena-bio-longevity-102,Dr. Elena Rostova,@elenalongevity,Wellness & Longevity,640000,165,68000000,380000,7.8,98,United States,English,Accelerating,7.77,7.74,7.59,414517,15293,95,68,0.068,26000,65000,15000,145000,99,93.5,16,25-34 Demographics with Ultra Luxury Purchasing Power in United States,United States,56,Canada,14,25-34,38,48,50,Ultra Luxury,38.4,"Marques Brownlee (22% overlap, 1.9x affinity) | Cleo Abram (21% overlap, 1.9x affinity) | Jeff Delaney (Fireship) (26% overlap, 2.3x affinity)",100,14,36,0,Limited Slots,Q3 2026
creator-culinary-atelier,UCculinary-atelier-199,Chef Maya Lin,@atelierculinaire,Culinary Arts,540000,140,58000000,340000,7.2,96,Singapore / France,English,Accelerating,7.3,6.89,6.86,375180,20775,95,58,0.058,21000,54000,13000,120000,99,93.5,16,25-34 Demographics with Ultra Luxury Purchasing Power in Singapore / France,United States,38,Singapore,20,25-34,52,46,52,Ultra Luxury,38.4,"Marques Brownlee (21% overlap, 1.9x affinity) | Cleo Abram (20% overlap, 2x affinity) | Jeff Delaney (Fireship) (24% overlap, 2.2x affinity)",98.7,14,31,0,Available,Q2 2026
creator-ai-frontier,UCai-frontier-deep-12,Dr. Matthew Zhang,@aifrontier,Tech & AI,360000,110,32000000,260000,8.2,98,United States,English,Plateau,8.22,7.98,8.15,294340,9509,95,78,0.082,24000,60000,13000,125000,99,93.5,16,25-34 Demographics with Very High Purchasing Power in United States,United States,52,United Kingdom,14,25-34,64,84,14,Very High,38.4,"Marques Brownlee (45% overlap, 2.8x affinity) | Cleo Abram (48% overlap, 3x affinity) | Jeff Delaney (Fireship) (17% overlap, 1.9x affinity)",99.1,11,34,0,Limited Slots,Q3 2026
creator-heritage-travel,UCtravel-heritage-901,Aurelia Durand,@aureliadurand,Travel & Heritage,410000,130,44000000,280000,7.6,97,Italy / Switzerland,English / Italian,Accelerating,7.8,7.34,7.33,321339,6633,96,64,0.065,22500,58000,14500,128000,99,93.5,16,25-34 Demographics with Ultra Luxury Purchasing Power in Italy / Switzerland,United States,42,Italy,18,25-34,46,42,56,Ultra Luxury,38.4,"Marques Brownlee (21% overlap, 2x affinity) | Cleo Abram (23% overlap, 2.1x affinity) | Jeff Delaney (Fireship) (27% overlap, 2.4x affinity)",98.2,18,29,0,Available,Q3 2026
creator-esport-culture,UCesport-culture-77,Leon 'Cipher' Thorne,@leonthorne,Gaming & Culture,880000,310,145000000,420000,6.8,95,Sweden / United States,English,Accelerating,6.86,6.65,6.32,436063,14570,95,38,0.039,19500,48000,11500,105000,99,93.5,16,25-34 Demographics with High Purchasing Power in Sweden / United States,United States,48,Germany,16,25-34,48,78,20,High,38.4,"Marques Brownlee (19% overlap, 2.1x affinity) | Cleo Abram (19% overlap, 1.9x affinity) | Jeff Delaney (Fireship) (27% overlap, 2.2x affinity)",97.4,9,58,0,Available,Q2 2026
